SiteName,obs_Syear,obs_Eyear,Source,filename,Run_Flag,IGBP_CLASS,z_T,z_U,dt,C3,D0,rss_v,g_min_c,Kr,dl,z0_soil,Km,cd
IT-Mal,2003,2003,LaThuile,IT-Mal_2003-2003_LaThuile_Flux.nc,0,10,-9999,-9999,3600,1,0.25,1,0.4,0.6,0.068,0.01,2.5,0.1
IT-Noe,2004,2014,FLUXNET2015,IT-Noe_2004-2014_FLUXNET2015_Flux.nc,0,6,-9999,-9999,3600,1,0.25,1,0.4,0.6,0.068,0.01,2.5,0.1
IT-Non,2002,2002,LaThuile,IT-Non_2002-2002_LaThuile_Flux.nc,0,4,-9999,-9999,3600,1,0.25,1,0.4,0.6,0.068,0.01,2.5,0.1
IT-PT1,2003,2004,FLUXNET2015,IT-PT1_2003-2004_FLUXNET2015_Flux.nc,0,4,-9999,-9999,3600,1,0.25,1,0.4,0.6,0.068,0.01,2.5,0.1
IT-Ren,2010,2013,FLUXNET2015,IT-Ren_2010-2013_FLUXNET2015_Flux.nc,0,1,-9999,-9999,3600,1,0.25,1,0.4,0.6,0.068,0.01,2.5,0.1
IT-Ro1,2002,2006,FLUXNET2015,IT-Ro1_2002-2006_FLUXNET2015_Flux.nc,0,4,-9999,-9999,3600,1,0.25,1,0.4,0.6,0.068,0.01,2.5,0.1
IT-Ro2,2002,2008,FLUXNET2015,IT-Ro2_2002-2008_FLUXNET2015_Flux.nc,0,4,-9999,-9999,3600,1,0.25,1,0.4,0.6,0.068,0.01,2.5,0.1
IT-SR2,2013,2014,FLUXNET2015,IT-SR2_2013-2014_FLUXNET2015_Flux.nc,0,1,-9999,-9999,3600,1,0.25,1,0.4,0.6,0.068,0.01,2.5,0.1
IT-SRo,2003,2012,FLUXNET2015,IT-SRo_2003-2012_FLUXNET2015_Flux.nc,0,1,-9999,-9999,3600,1,0.25,1,0.4,0.6,0.068,0.01,2.5,0.1
JP-SMF,2003,2006,FLUXNET2015,JP-SMF_2003-2006_FLUXNET2015_Flux.nc,0,5,-9999,-9999,3600,1,0.25,1,0.4,0.6,0.068,0.01,2.5,0.1
NL-Ca1,2003,2006,LaThuile,NL-Ca1_2003-2006_LaThuile_Flux.nc,0,10,-9999,-9999,3600,1,0.25,1,0.4,0.6,0.068,0.01,2.5,0.1
NL-Hor,2008,2011,FLUXNET2015,NL-Hor_2008-2011_FLUXNET2015_Flux.nc,0,10,-9999,-9999,3600,1,0.25,1,0.4,0.6,0.068,0.01,2.5,0.1
NL-Loo,1997,2013,FLUXNET2015,NL-Loo_1997-2013_FLUXNET2015_Flux.nc,0,1,-9999,-9999,3600,1,0.25,1,0.4,0.6,0.068,0.01,2.5,0.1
PL-wet,2004,2005,LaThuile,PL-wet_2004-2005_LaThuile_Flux.nc,0,11,-9999,-9999,3600,1,0.25,1,0.4,0.6,0.068,0.01,2.5,0.1
PT-Esp,2002,2004,LaThuile,PT-Esp_2002-2004_LaThuile_Flux.nc,0,2,-9999,-9999,3600,1,0.25,1,0.4,0.6,0.068,0.01,2.5,0.1
PT-Mi1,2005,2005,LaThuile,PT-Mi1_2005-2005_LaThuile_Flux.nc,0,2,-9999,-9999,3600,1,0.25,1,0.4,0.6,0.068,0.01,2.5,0.1
PT-Mi2,2005,2006,LaThuile,PT-Mi2_2005-2006_LaThuile_Flux.nc,0,10,-9999,-9999,3600,1,0.25,1,0.4,0.6,0.068,0.01,2.5,0.1
RU-Che,2003,2004,FLUXNET2015,RU-Che_2003-2004_FLUXNET2015_Flux.nc,0,11,-9999,-9999,3600,1,0.25,1,0.4,0.6,0.068,0.01,2.5,0.1
RU-Fyo,2003,2014,FLUXNET2015,RU-Fyo_2003-2014_FLUXNET2015_Flux.nc,0,1,-9999,-9999,3600,1,0.25,1,0.4,0.6,0.068,0.01,2.5,0.1
RU-Zot,2003,2003,LaThuile,RU-Zot_2003-2003_LaThuile_Flux.nc,0,8,-9999,-9999,3600,1,0.25,1,0.4,0.6,0.068,0.01,2.5,0.1
SD-Dem,2005,2009,FLUXNET2015,SD-Dem_2005-2009_FLUXNET2015_Flux.nc,0,9,-9999,-9999,3600,1,0.25,1,0.4,0.6,0.068,0.01,2.5,0.1
SE-Deg,2002,2005,LaThuile,SE-Deg_2002-2005_LaThuile_Flux.nc,0,10,-9999,-9999,3600,1,0.25,1,0.4,0.6,0.068,0.01,2.5,0.1
UK-Gri,2000,2001,LaThuile,UK-Gri_2000-2001_LaThuile_Flux.nc,0,1,-9999,-9999,3600,1,0.25,1,0.4,0.6,0.068,0.01,2.5,0.1
UK-Ham,2004,2004,LaThuile,UK-Ham_2004-2004_LaThuile_Flux.nc,0,4,-9999,-9999,3600,1,0.25,1,0.4,0.6,0.068,0.01,2.5,0.1
UK-PL3,2005,2006,LaThuile,UK-PL3_2005-2006_LaThuile_Flux.nc,0,5,-9999,-9999,3600,1,0.25,1,0.4,0.6,0.068,0.01,2.5,0.1
US-AR1,2010,2012,FLUXNET2015,US-AR1_2010-2012_FLUXNET2015_Flux.nc,0,10,-9999,-9999,3600,1,0.25,1,0.4,0.6,0.068,0.01,2.5,0.1
US-AR2,2010,2011,FLUXNET2015,US-AR2_2010-2011_FLUXNET2015_Flux.nc,0,10,-9999,-9999,3600,1,0.25,1,0.4,0.6,0.068,0.01,2.5,0.1
US-ARM,2003,2012,FLUXNET2015,US-ARM_2003-2012_FLUXNET2015_Flux.nc,0,12,-9999,-9999,3600,1,0.25,1,0.4,0.6,0.068,0.01,2.5,0.1
US-Aud,2003,2005,LaThuile,US-Aud_2003-2005_LaThuile_Flux.nc,0,10,-9999,-9999,3600,1,0.25,1,0.4,0.6,0.068,0.01,2.5,0.1
US-Bar,2005,2005,LaThuile,US-Bar_2005-2005_LaThuile_Flux.nc,0,5,-9999,-9999,3600,1,0.25,1,0.4,0.6,0.068,0.01,2.5,0.1
US-Bkg,2005,2006,LaThuile,US-Bkg_2005-2006_LaThuile_Flux.nc,0,10,-9999,-9999,3600,1,0.25,1,0.4,0.6,0.068,0.01,2.5,0.1
US-Blo,2000,2006,FLUXNET2015,US-Blo_2000-2006_FLUXNET2015_Flux.nc,0,1,-9999,-9999,3600,1,0.25,1,0.4,0.6,0.068,0.01,2.5,0.1
US-Bo1,1997,2006,LaThuile,US-Bo1_1997-2006_LaThuile_Flux.nc,0,12,-9999,-9999,3600,1,0.25,1,0.4,0.6,0.068,0.01,2.5,0.1
US-Cop,2002,2003,FLUXNET2015,US-Cop_2002-2003_FLUXNET2015_Flux.nc,0,10,-9999,-9999,3600,1,0.25,1,0.4,0.6,0.068,0.01,2.5,0.1
US-FPe,2000,2006,LaThuile,US-FPe_2000-2006_LaThuile_Flux.nc,0,10,-9999,-9999,3600,1,0.25,1,0.4,0.6,0.068,0.01,2.5,0.1
US-GLE,2009,2014,FLUXNET2015,US-GLE_2009-2014_FLUXNET2015_Flux.nc,0,1,-9999,-9999,3600,1,0.25,1,0.4,0.6,0.068,0.01,2.5,0.1
US-Goo,2004,2006,LaThuile,US-Goo_2004-2006_LaThuile_Flux.nc,0,10,-9999,-9999,3600,1,0.25,1,0.4,0.6,0.068,0.01,2.5,0.1
